#,Athletes,GP,eFG%,TO%,OREB%,DREB%,FTF,VPS,FGM,FGA,FG%,eFG%,2FGM,2FGA,2FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,PF,PA,PPP,PPG,+/-,MINS,TP,PoT,SCP,PiP,OREB,OREB%,DREB,DREB%,REB,AST,TO,A/TO,TO%,DEFL,STL,BLK,FOUL,CHG
15,Cole Vanvick,1,0.00%,0.00%,-,-,0,0.5,0,1,0.00%,0.00%,0,1,0.00%,0,1,0.00%,0,0,-,0,0,-,0,0,-,0,-,-,0,3,4,0,0,0,0,1,-,0,-,1,0,0,0,0.00%,0,0,0,0,0
13,Tyler Holder,1,0.00%,36.90%,-,-,1.5,0.45,0,2,0.00%,0.00%,0,0,-,0,0,-,0,2,0.00%,0,2,0.00%,0,3,0.00%,0,-,-,0,5,17,0,0,0,0,0,-,1,-,1,2,2,1,36.90%,1,0,0,0,0
2,Joseph King,1,0.00%,0.00%,-,-,0,0.75,0,2,0.00%,0.00%,0,0,-,0,0,-,0,2,0.00%,0,2,0.00%,0,0,-,0,-,-,0,4,10,0,0,0,0,0,-,1,-,1,0,0,0,0.00%,0,1,0,0,0
35,Zac Zivitski,1,-,-,-,-,0,0,0,0,-,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,-,-,0,1,2,0,0,0,0,0,-,0,-,0,0,0,0,-,0,0,0,1,0
4,Ben Vanvick,1,50.00%,60.00%,-,-,0,1,1,2,50.00%,50.00%,1,2,50.00%,1,2,50.00%,0,0,-,0,0,-,0,0,-,2,-,-,2,-4,11,0,0,2,0,2,-,2,-,4,0,3,0,60.00%,0,2,0,1,0
23,Malik Joseph,1,40.00%,24.20%,-,-,0.2,1.1,8,20,40.00%,40.00%,8,18,44.40%,8,18,44.40%,0,2,0.00%,0,2,0.00%,2,4,50.00%,18,-,-,18,16,33,4,0,0,16,6,-,13,-,19,7,7,1,24.20%,0,1,0,4,0
33,Ian Thomson,1,50.00%,11.20%,-,-,0.67,2.87,3,6,50.00%,50.00%,3,6,50.00%,3,6,50.00%,0,0,-,0,0,-,3,4,75.00%,9,-,-,9,20,31,0,2,4,6,1,-,11,-,12,2,1,2,11.20%,0,1,8,3,0
10,Trey Owens,1,33.30%,14.60%,-,-,2,1.63,1,3,33.30%,33.30%,1,1,100.00%,1,1,100.00%,0,2,0.00%,0,2,0.00%,4,6,66.70%,6,-,-,6,13,20,0,4,2,2,1,-,4,-,5,0,1,0,14.60%,0,0,1,0,0
24,Jalen Williams,1,-,67.80%,-,-,0,0.45,0,0,-,-,0,0,-,0,0,-,0,0,-,0,0,-,0,1,0.00%,0,-,-,0,6,10,0,0,0,0,0,-,1,-,1,1,1,1,67.80%,0,0,1,4,0
3,Messiah Harris,1,70.60%,10.50%,-,-,0,1.89,12,17,70.60%,70.60%,12,17,70.60%,12,17,70.60%,0,0,-,0,0,-,0,0,-,24,-,-,24,16,29,12,2,0,20,2,-,2,-,4,3,2,1.5,10.50%,1,0,0,2,0
